BMI_714_Variable_Name,Variable_Name,Variable_Description,Data_File_Name,Data_File_Description,Component
P_DS1TOT_DS1TCHOL,DS1TCHOL,Cholesterol (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TLYCO,DS1TLYCO,Lycopene (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TLZ,DS1TLZ,Lutein + zeaxanthin (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TVB1,DS1TVB1,Thiamin (Vitamin B1) (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TVB2,DS1TVB2,Riboflavin (Vitamin B2) (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TNIAC,DS1TNIAC,Niacin (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TVB6,DS1TVB6,Vitamin B6 (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TVB12,DS1TVB12,Vitamin B12 (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TFA,DS1TFA,Folic acid (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TFDFE,DS1TFDFE,"Folate, DFE (mcg)",P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TCHL,DS1TCHL,Total choline (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TVC,DS1TVC,Vitamin C (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TVK,DS1TVK,Vitamin K (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TVD,DS1TVD,Vitamin D (D2 + D3) (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TCALC,DS1TCALC,Calcium (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TPHOS,DS1TPHOS,Phosphorus (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TMAGN,DS1TMAGN,Magnesium (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TIRON,DS1TIRON,Iron (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TZINC,DS1TZINC,Zinc (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TCOPP,DS1TCOPP,Copper (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TSODI,DS1TSODI,Sodium (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TPOTA,DS1TPOTA,Potassium (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TSELE,DS1TSELE,Selenium (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TCAFF,DS1TCAFF,Caffeine (mg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TIODI,DS1TIODI,Iodine (mcg),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS2TOT_WTDRD1PP,WTDRD1PP,Dietary day one sample weight,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_WTDR2DPP,WTDR2DPP,Dietary two-day sample weight,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DR2DRSTZ,DR2DRSTZ,Dietary recall status,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DR2EXMER,DR2EXMER,Interviewer ID code,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DRDINT,DRDINT,Indicates whether the sample person has intake data for one or two days.,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DR2DBIH,DR2DBIH,# of days b/w intake and HH interview,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DR2DAY,DR2DAY,Intake day of the week,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DR2LANG,DR2LANG,The respondent spoke mostly:,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DR2MRESP,DR2MRESP,Who was the main respondent for this interview?,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DR2HELP,DR2HELP,Who helped in responding for this interview,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2DSCNT,DS2DSCNT,Total # of Dietary Supplements Taken,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2DS,DS2DS,Any Dietary Supplements taken in the past 24 hour?,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2ANCNT,DS2ANCNT,Total # of Antacids Taken,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2AN,DS2AN,Any Antacids Taken?,P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TKCAL,DS2TKCAL,Energy (kcal),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TPROT,DS2TPROT,Protein (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TCARB,DS2TCARB,Carbohydrate (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TSUGR,DS2TSUGR,Total sugars (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TFIBE,DS2TFIBE,Dietary fiber (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TTFAT,DS2TTFAT,Total fat (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TSFAT,DS2TSFAT,Total saturated fatty acids (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TMFAT,DS2TMFAT,Total monounsaturated fatty acids (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TPFAT,DS2TPFAT,Total polyunsaturated fatty acids (gm),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TCHOL,DS2TCHOL,Cholesterol (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TLYCO,DS2TLYCO,Lycopene (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TLZ,DS2TLZ,Lutein + zeaxanthin (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TVB1,DS2TVB1,Thiamin (Vitamin B1) (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TVB2,DS2TVB2,Riboflavin (Vitamin B2) (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TNIAC,DS2TNIAC,Niacin (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TVB6,DS2TVB6,Vitamin B6 (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TVB12,DS2TVB12,Vitamin B12 (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TFA,DS2TFA,Folic acid (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TFDFE,DS2TFDFE,"Folate, DFE (mcg)",P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TCHL,DS2TCHL,Total choline (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TVC,DS2TVC,Vitamin C (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TVK,DS2TVK,Vitamin K (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TVD,DS2TVD,Vitamin D (D2 + D3) (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TCALC,DS2TCALC,Calcium (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TPHOS,DS2TPHOS,Phosphorus (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TMAGN,DS2TMAGN,Magnesium (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TIRON,DS2TIRON,Iron (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TZINC,DS2TZINC,Zinc (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TCOPP,DS2TCOPP,Copper (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TSODI,DS2TSODI,Sodium (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TPOTA,DS2TPOTA,Potassium (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TSELE,DS2TSELE,Selenium (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TCAFF,DS2TCAFF,Caffeine (mg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_DS2TOT_DS2TIODI,DS2TIODI,Iodine (mcg),P_DS2TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",Dietary
P_BMX_BMDSTATS,BMDSTATS,Body Measures Component status Code,P_BMX,Body Measures,Examination
P_BMX_BMXWT,BMXWT,Weight (kg),P_BMX,Body Measures,Examination
P_BMX_BMIWT,BMIWT,Weight Comment,P_BMX,Body Measures,Examination
P_BMX_BMXRECUM,BMXRECUM,Recumbent Length (cm),P_BMX,Body Measures,Examination
P_BMX_BMIRECUM,BMIRECUM,Recumbent Length Comment,P_BMX,Body Measures,Examination
P_BMX_BMXHEAD,BMXHEAD,Head Circumference (cm),P_BMX,Body Measures,Examination
P_BMX_BMIHEAD,BMIHEAD,Head Circumference Comment,P_BMX,Body Measures,Examination
P_BMX_BMXHT,BMXHT,Standing Height (cm),P_BMX,Body Measures,Examination
P_BMX_BMIHT,BMIHT,Standing Height Comment,P_BMX,Body Measures,Examination
P_BMX_BMXBMI,BMXBMI,Body Mass Index (kg/m**2),P_BMX,Body Measures,Examination
P_BMX_BMDBMIC,BMDBMIC,BMI Category - Children/Youth,P_BMX,Body Measures,Examination
P_BMX_BMXLEG,BMXLEG,Upper Leg Length (cm),P_BMX,Body Measures,Examination
P_BMX_BMILEG,BMILEG,Upper Leg Length Comment,P_BMX,Body Measures,Examination
P_BMX_BMXARML,BMXARML,Upper Arm Length (cm),P_BMX,Body Measures,Examination
P_BMX_BMIARML,BMIARML,Upper Arm Length Comment,P_BMX,Body Measures,Examination
P_BMX_BMXARMC,BMXARMC,Arm Circumference (cm),P_BMX,Body Measures,Examination
P_BMX_BMIARMC,BMIARMC,Arm Circumference Comment,P_BMX,Body Measures,Examination
P_BMX_BMXWAIST,BMXWAIST,Waist Circumference (cm),P_BMX,Body Measures,Examination
P_BMX_BMIWAIST,BMIWAIST,Waist Circumference Comment,P_BMX,Body Measures,Examination
P_BMX_BMXHIP,BMXHIP,Hip Circumference (cm),P_BMX,Body Measures,Examination
P_BMX_BMIHIP,BMIHIP,Hip Circumference Comment,P_BMX,Body Measures,Examination
P_BPXO_BPAOARM,BPAOARM,Arm selected - oscillometric,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPAOCSZ,BPAOCSZ,Mid arm circumference (cm) cuffing parameters - oscillometric,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXOSY1,BPXOSY1,Systolic - 1st oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXODI1,BPXODI1,Diastolic - 1st oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXOSY2,BPXOSY2,Systolic - 2nd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXODI2,BPXODI2,Diastolic - 2nd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXOSY3,BPXOSY3,Systolic - 3rd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXODI3,BPXODI3,Diastolic - 3rd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXOPLS1,BPXOPLS1,Pulse - 1st oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXOPLS2,BPXOPLS2,Pulse - 2nd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_BPXO_BPXOPLS3,BPXOPLS3,Pulse - 3rd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,Examination
P_DXXFEM_DXAFMRST,DXAFMRST,Femur scan status,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXFMBCC,DXXFMBCC,Total femur BMD invalidity code,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXOFBMD,DXXOFBMD,Total femur BMD,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXOFBMC,DXXOFBMC,Total femur BMC,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXOFA,DXXOFA,Total femur area,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXNKBMD,DXXNKBMD,Femoral neck BMD,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXNKBMC,DXXNKBMC,Femoral neck BMC,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXNKA,DXXNKA,Femoral neck area,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXTRBMD,DXXTRBMD,Trochanter BMD,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXTRBMC,DXXTRBMC,Trochanter BMC,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXTRA,DXXTRA,Trochanter area,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXINBMD,DXXINBMD,Intertrochanter BMD,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXINBMC,DXXINBMC,Intertrochanter BMC,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXINA,DXXINA,Intertrochanter area,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXWDBMD,DXXWDBMD,Wards triangle BMD,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXWDBMC,DXXWDBMC,Wards triangle BMC,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXXWDA,DXXWDA,Wards triangle area,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXAFMRK,DXAFMRK,Calculated K for femur,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXFEM_DXAFMRD0,DXAFMRD0,Calculated DO for femur,P_DXXFEM,Dual-Energy X-ray Absorptiometry - Femur,Examination
P_DXXSPN_DXASPNST,DXASPNST,Spine scan status,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXOSBCC,DXXOSBCC,Total spine BMD invalidity code,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL1BCC,DXXL1BCC,L1 BMD invalidity code,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL2BCC,DXXL2BCC,L2 BMD invalidity code,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL3BCC,DXXL3BCC,L3 BMD invalidity code,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL4BCC,DXXL4BCC,L4 BMD invalidity code,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXOSBMD,DXXOSBMD,Total spine BMD,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXOSBMC,DXXOSBMC,Total spine BMC,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXOSA,DXXOSA,Total spine area,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
